"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"Local-1-Wellington_Station-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-1-South_Medford-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-1-Wellington_Station-Saturday",0,0,0,0,0,1,0,20180401,2018050623
"Local-1-South_Medford-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-1-Wellington_Station-Sunday",0,0,0,0,0,0,1,20180401,2018050623
"Local-1-South_Medford-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-2-Celestine_Terrace-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-2-Stone_Zoo-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-2-Redstone-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-2-Wedgemere-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-2-Wedgemere-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-2-Wedgemere-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-2-Celestine_Terrace-Saturday",0,0,0,0,0,1,0,20180401,2018050623
"Local-2-Stone_Zoo-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-2-Redstone-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-2-Wedgemere-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-2-Wedgemere-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-2-Wedgemere-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-2-Celestine_Terrace-Sunday",0,0,0,0,0,1,0,20180401,2018050623
"Local-2-Stone_Zoo-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-2-Redstone-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-2-Wedgemere-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-2-Wedgemere-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-2-Wedgemere-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-3-Clarendon_Hill-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-3-Kendall-Weekday",1,1,1,1,1,0,0,20180401,20180623
"Local-3-Clarendon_Hill-Saturday",0,0,0,0,0,1,0,20180401,2018050623
"Local-3-Kendall-Saturday",0,0,0,0,0,1,0,20180401,20180623
"Local-3-Clarendon_Hill-Sunday",0,0,0,0,0,0,1,20180401,2018050623
"Local-3-Kendall-Sunday",0,0,0,0,0,0,1,20180401,20180623
"Local-4-Middlesex_Fells_Reservation-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-4-Middlesex_Fells_Reservation_via_Lawrence_Memorial_Hospital-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-4-Middlesex_Fells_Reservation_Via_Boston_Regional_Medical_Center-Weekday",1,1,1,1,1,0,0,20180401,2018050623
"Local-4-Middlesex_Fells_Reservation_via_Lawrence_Memorial_Hospital_&_Boston_Regional_Medical_Center-Weekday",1,1,1,1,1,0,0,20180401,2018050623

"School-901-Lynnfield_High-Weekday",1,1,1,1,1,0,0,20180401,20180623
"School-901-Goodwins_Circle-Weekday",1,1,1,1,1,0,0,20180401,20180623
